num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
8,8,300,15,0.8,skeptical,0.6571428571428573,78,0.34285714285714286,41
8,8,300,15,0.8,skeptical,0.5072802197802198,59,0.49271978021978025,58
8,8,300,15,0.8,skeptical,0.5184523809523809,62,0.4815476190476191,57
8,8,300,15,0.8,skeptical,0.6113095238095239,72,0.3886904761904762,46
8,8,300,15,0.8,skeptical,0.5047619047619047,59,0.4952380952380952,59
8,8,300,15,0.8,reid,0.6476190476190476,544,0.35238095238095246,296
8,8,300,15,0.8,reid,0.5218446601941747,430,0.47815533980582525,394
8,8,300,15,0.8,reid,0.5716019417475727,471,0.4283980582524271,353
8,8,300,15,0.8,reid,0.5970873786407767,492,0.40291262135922323,332
8,8,300,15,0.8,reid,0.64625,517,0.35374999999999995,283
8,8,300,15,0.8,reid,0.4080882352941176,333,0.5919117647058824,483
8,8,300,15,0.8,reid,0.6141304347826086,452,0.3858695652173913,284
8,8,300,15,0.8,reid,0.625,500,0.375,300
8,8,300,15,0.8,reid,0.7216494845360825,560,0.2783505154639175,216
8,8,300,15,0.8,reid,0.6536458333333333,502,0.3463541666666667,266
8,8,300,15,0.8,direct,0.4684343434343435,371,0.5315656565656566,421
8,8,300,15,0.8,direct,0.6831683168316831,552,0.31683168316831684,256
8,8,300,15,0.8,direct,0.42597087378640774,351,0.5740291262135923,473
8,8,300,15,0.8,direct,0.73046875,561,0.26953125,207
